Sport,"1st place, gold medalist(s)","2nd place, silver medalist(s)","3rd place, bronze medalist(s)",Total
Swimming,11,10,9,30
Athletics,7,12,7,26
Wrestling,3,2,4,9
Shooting,3,2,1,6
Basketball,3,0,0,3
Gymnastics,2,2,2,6
Golf,2,0,0,2
Volleyball,2,0,0,2
Cycling,1,1,1,3
Fencing,1,0,1,2
Canoeing,1,0,0,1
Surfing,1,0,0,1
Taekwondo,1,0,0,1
Water polo,1,0,0,1
Boxing,0,3,1,4
Diving,0,2,1,3
Equestrian,0,2,0,2
Triathlon,0,1,1,2
Weightlifting,0,1,1,2
Baseball,0,1,0,1
Softball,0,1,0,1
Sport climbing,0,1,0,1
Skateboarding,0,0,2,2
Football,0,0,1,1
Karate,0,0,1,1
Total,39,41,33,113
