Sport,Gold,Silver,Bronze,Total
Track and Field,14,11,9,34
Swimming,8,13,7,28
Gymnastics - Artistic,3,1,5,9
Wrestling - Freestyle,2,2,3,7
Shooting,1,3,1,5
Fencing,2,1,1,4
Skateboarding,0,2,1,3
Basketball,2,0,0,2
Cycling - Track,2,0,0,2
Cycling - Road,1,0,1,2
Rowing,1,0,1,2
Weightlifting,1,0,1,2
Archery,0,1,1,2
Sport Climbing,0,1,1,2
Tennis,0,1,1,2
Volleyball,0,1,1,2
Soccer,1,0,0,1
Golf,1,0,0,1
Surfing,1,0,0,1
Artistic Swimming,0,1,0,1
BMX Freestyle,0,1,0,1
Canoe Sprint,0,1,0,1
Diving,0,1,0,1
Equestrian - Jumping,0,1,0,1
Mountain Bike,0,1,0,1
Triathlon,0,1,0,1
Basketball 3x3,0,0,1,1
Boxing,0,0,1,1
Breaking,0,0,1,1
Canoe Slalom,0,0,1,1
Rugby,0,0,1,1
Sailing,0,0,1,1
Taekwondo,0,0,1,1
Water Polo,0,0,1,1
